Raw Text,Name,4-Digit Number,ATA style with dash
11 PLACARDS AND MARKINGS,PLACARDS AND MARKINGS,11 ,11 
1100 PLACARDS AND MARKINGS,PLACARDS AND MARKINGS,1100 ,11-00 
12 SERVICING,SERVICING,12 ,12 
1210 FUEL SERVICING,FUEL SERVICING,1210 ,12-10 
1220 OIL SERVICING,OIL SERVICING,1220 ,12-20 
1230 HYDRAULIC FLUID SERVICING,HYDRAULIC FLUID SERVICING,1230 ,12-30 
1240 COOLANT SERVICING,COOLANT SERVICING,1240 ,12-40 
14 HARDWARE,HARDWARE,14 ,14 
1400 MISCELLANEOUS HARDWARE,MISCELLANEOUS HARDWARE,1400 ,14-00 
1410 HOSES AND TUBES,HOSES AND TUBES,1410 ,14-10 
1420 ELECTRICAL CONNECTORS,ELECTRICAL CONNECTORS,1420 ,14-20 
1430 FASTENERS,FASTENERS,1430 ,14-30 
1497 MISCELLANEOUS WIRING,MISCELLANEOUS WIRING,1497 ,14-97 
18 HELICOPTER VIBRATION,HELICOPTER VIBRATION,18 ,18 
1800 HELICOPTER VIB/NOISE ANALYSIS,HELICOPTER VIB/NOISE ANALYSIS,1800 ,18-00 
1810 HELICOPTER VIBRATION ANALYSIS,HELICOPTER VIBRATION ANALYSIS,1810 ,18-10 
1820 HELICOPTER NOISE ANALYSIS,HELICOPTER NOISE ANALYSIS,1820 ,18-20 
1897 HELICOPTER VIBRATION SYSTEM WIRING,HELICOPTER VIBRATION SYSTEM WIRING,1897 ,18-97 
21 AIR CONDITIONING,AIR CONDITIONING,21 ,21 
2100 AIR CONDITIONING SYSTEM,AIR CONDITIONING SYSTEM,2100 ,21-00 
2110 CABIN COMPRESSOR SYSTEM,CABIN COMPRESSOR SYSTEM,2110 ,21-10 
2120 AIR DISTRIBUTION SYSTEM,AIR DISTRIBUTION SYSTEM,2120 ,21-20 
2121 AIR DISTRIBUTION FAN,AIR DISTRIBUTION FAN,2121 ,21-21 
2130 CABIN PRESSURE CONTROL SYSTEM,CABIN PRESSURE CONTROL SYSTEM,2130 ,21-30 
2131 CABIN PRESSURE CONTROLLER,CABIN PRESSURE CONTROLLER,2131 ,21-31 
2132 CABIN PRESSURE INDICATOR,CABIN PRESSURE INDICATOR,2132 ,21-32 
2133 PRESSURE REGUL/OUTFLOW VALVE,PRESSURE REGUL/OUTFLOW VALVE,2133 ,21-33 
2134 CABIN PRESSURE SENSOR,CABIN PRESSURE SENSOR,2134 ,21-34 
2140 HEATING SYSTEM,HEATING SYSTEM,2140 ,21-40 
2150 CABIN COOLING SYSTEM,CABIN COOLING SYSTEM,2150 ,21-50 
2160 CABIN TEMPERATURE CONTROL SYSTEM,CABIN TEMPERATURE CONTROL SYSTEM,2160 ,21-60 
2161 CABIN TEMPERATURE CONTROLLER,CABIN TEMPERATURE CONTROLLER,2161 ,21-61 
2162 CABIN TEMPERATURE INDICATOR,CABIN TEMPERATURE INDICATOR,2162 ,21-62 
2163 CABIN TEMPERATURE SENSOR,CABIN TEMPERATURE SENSOR,2163 ,21-63 
2170 HUMIDITY CONTROL SYSTEM,HUMIDITY CONTROL SYSTEM,2170 ,21-70 
2197 AIR CONDITIONING SYSTEM WIRING,AIR CONDITIONING SYSTEM WIRING,2197 ,21-97 
22 AUTO FLIGHT,AUTO FLIGHT,22 ,22 
2200 AUTO FLIGHT SYSTEM,AUTO FLIGHT SYSTEM,2200 ,22-00 
2210 AUTOPILOT SYSTEM,AUTOPILOT SYSTEM,2210 ,22-10 
2211 AUTOPILOT COMPUTER,AUTOPILOT COMPUTER,2211 ,22-11 
2212 ALTITUDE CONTROLLER,ALTITUDE CONTROLLER,2212 ,22-12 
2213 FLIGHT CONTROLLER,FLIGHT CONTROLLER,2213 ,22-13 
2214 AUTOPILOT TRIM INDICATOR,AUTOPILOT TRIM INDICATOR,2214 ,22-14 
2215 AUTOPILOT MAIN SERVO,AUTOPILOT MAIN SERVO,2215 ,22-15 
2216 AUTOPILOT TRIM SERVO,AUTOPILOT TRIM SERVO,2216 ,22-16 
2220 SPEED-ATTITUDE CORRECT. SYSTEM,SPEED-ATTITUDE CORRECT. SYSTEM,2220 ,22-20 
2230 AUTO THROTTLE SYSTEM,AUTO THROTTLE SYSTEM,2230 ,22-30 
2250 AERODYNAMIC LOAD ALLEVIATING,AERODYNAMIC LOAD ALLEVIATING,2250 ,22-50 
2297 AUTOFLIGHT SYSTEM WIRING,AUTOFLIGHT SYSTEM WIRING,2297 ,22-97 
23 COMMUNICATIONS,COMMUNICATIONS,23 ,23 
2300 COMMUNICATIONS SYSTEM,COMMUNICATIONS SYSTEM,2300 ,23-00 
2310 HF COMMUNICATION SYSTEM,HF COMMUNICATION SYSTEM,2310 ,23-10 
2311 UHF COMMUNICATION SYSTEM,UHF COMMUNICATION SYSTEM,2311 ,23-11 
